"chapter","question","choice_a","choice_b","choice_c","choice_d","choice_e","correct_answer","explanation"
"L9","Which Transformer model uses an Encoder-only architecture and is trained using Masked Language Modeling (MLM) and Next Sentence Prediction (NSP)?","GPT-1","GPT-3","BERT","ViT","All of the above","BERT",""
"L9","In the context of the Transformer architecture, what does 'Multi-Head Attention' achieve?","It allows the model to process multiple languages simultaneously.","It acts like having different experts looking for different relationships (e.g., grammar, pronouns) in parallel.","It completely replaces the need for Positional Encodings.","It forces the model to use recurrent layers.","All of the above","It acts like having different experts looking for different relationships (e.g., grammar, pronouns) in parallel.",""
"L9","What does 'Causal Masking' in a Decoder-only model like GPT ensure?","That the model looks at both the left and right context simultaneously.","That the model only learns from the past and never cheats by looking at future tokens.","That the model randomly masks 15% of the input words.","That the model uses convolutions instead of attention.","All of the above","That the model only learns from the past and never cheats by looking at future tokens.",""
"L9","What was a key feature of the GPT-2 model when it was released?","It was an Encoder-only architecture.","It proved the power of Zero-Shot Learning (ZSL) by performing tasks it wasn't fine-tuned for.","It introduced the concept of Knowledge Distillation.","It required millions of labeled examples for basic translation.","All of the above","It proved the power of Zero-Shot Learning (ZSL) by performing tasks it wasn't fine-tuned for.",""
"L9","How does the Vision Transformer (ViT) process images?","By using deep convolutional layers to extract feature maps.","By dividing the image into small patches (e.g., 16x16) and treating them like a sequence of words.","By relying entirely on Recurrent Neural Networks to scan pixels.","By using a Teacher-Student distillation framework exclusively.","All of the above","By dividing the image into small patches (e.g., 16x16) and treating them like a sequence of words.",""
"L9","Which model explicitly combines a Convolutional Neural Network (CNN) with a Transformer for object detection?","DETR","ViT","DeiT","Swin Transformer","All of the above","DETR",""
"L9","What technique does the Data-Efficient Image Transformer (DeiT) use to achieve high performance without massive datasets?","Knowledge Distillation via a Teacher-Student strategy","Next Sentence Prediction","Causal Masking","Sliding-Window Attention","All of the above","Knowledge Distillation via a Teacher-Student strategy",""
"L9","How does the Swin Transformer achieve linear computational scaling for high-resolution images?","By completely ignoring attention mechanisms.","By processing images through 1D recurrent layers.","By using Window-based Multi-head Self-Attention and Shifted Windows.","By using only a single attention head.","All of the above","By using Window-based Multi-head Self-Attention and Shifted Windows.",""
"L9","What is the primary breakthrough of the DINO framework?","Translating text from English to Spanish using CNNs.","Performing Self-Supervised Visual Representation Learning without using any labels.","Replacing subword tokenization with character-level RNNs.","Pre-training models specifically for audio transcription.","All of the above","Performing Self-Supervised Visual Representation Learning without using any labels.",""
"L9","What problem does Subword Tokenization (like BPE or WordPiece) help solve?","It eliminates the need for Positional Encodings.","It breaks unknown words into meaningful sub-units, efficiently handling large vocabularies and rare words.","It converts text directly into bounding boxes for object detection.","It ensures that attention scores are always positive.","All of the above","It breaks unknown words into meaningful sub-units, efficiently handling large vocabularies and rare words.",""
"L9","How do you measure the similarity between a Query and a Key in the self-attention mechanism?","By using a Convolutional filter.","By computing the dot product.","By randomly sampling from a uniform distribution.","By calculating the cross-entropy loss.","All of the above","By computing the dot product.",""
"L9","In BERT fine-tuning, how is a sentence classification task usually handled?","By feeding the entire sequence into an LSTM.","By extracting the last token of the sentence and passing it to a Softmax layer.","By attaching a simple linear layer to the [CLS] token representation.","By predicting the masked words in the sentence.","All of the above","By attaching a simple linear layer to the [CLS] token representation.",""
"L9","What does the term 'Few-Shot Learning' refer to in the context of GPT-3?","Training the model from scratch on a small dataset of 10-100 images.","Providing 10-100 examples in the prompt to prime the model's pattern recognition without updating weights.","Masking a few words in a sentence and guessing them.","Using a CNN to distill knowledge into a Transformer.","All of the above","Providing 10-100 examples in the prompt to prime the model's pattern recognition without updating weights.",""
"L9","What is an advantage of using Contextualized Embeddings (like BERT) over Static Embeddings (like Word2vec)?","Contextualized embeddings update dynamically, allowing the model to distinguish between different meanings of the same word.","Static embeddings require a Transformer architecture, which is faster.","Contextualized embeddings assign only a single fixed vector to every word.","Static embeddings use subword tokenization to prevent vanishing gradients.","All of the above","Contextualized embeddings update dynamically, allowing the model to distinguish between different meanings of the same word.",""
"L9","Why must sequences be padded when training recurrent neural networks or transformers on text batches?","Because neural networks require fixed-size tensors for batch processing.","To add extra semantic meaning to short sentences.","To prevent the model from learning long-range dependencies.","To automatically sort the sequences alphabetically.","All of the above","Because neural networks require fixed-size tensors for batch processing.",""
"L10","What is the primary purpose of a standard autoencoder?","To learn dense representations of input data without supervision","To classify images into discrete categories","To generate realistic new images from noise","To perform reinforcement learning","All of the above","To learn dense representations of input data without supervision",""
"L10","Which of the following is true about an undercomplete autoencoder?","It has a lower dimensionality in its internal representation than the input data.","It cannot trivially copy its inputs to the codings.","It is forced to learn the most important features in the input data.","It can be used for dimensionality reduction.","All of the above","All of the above",""
"L10","What happens if an autoencoder is too powerful?","It perfectly learns the underlying distribution of the data.","It may simply map each input to an arbitrary number without learning useful representations.","It automatically becomes a Variational Autoencoder.","It converts into a Generative Adversarial Network.","All of the above","It may simply map each input to an arbitrary number without learning useful representations.",""
"L10","If an autoencoder uses only linear activations and the cost function is the mean squared error (MSE), what algorithm does it end up approximating?","Linear Regression","Principal Component Analysis (PCA)","K-Means Clustering","Support Vector Machines","All of the above","Principal Component Analysis (PCA)",""
"L10","What technique is used by a denoising autoencoder to learn useful features?","Adding pure Gaussian noise to the inputs","Randomly switching off inputs, similar to dropout","Training the model to recover the original, noise-free inputs","Using out-of-distribution inputs to detect anomalies","All of the above","All of the above",""
"L10","How does a sparse autoencoder enforce feature extraction?","By increasing the depth of the network","By adding a penalty to the cost function to reduce the number of active neurons in the coding layer","By using pooling layers","By adding Gaussian noise to the latent space","All of the above","By adding a penalty to the cost function to reduce the number of active neurons in the coding layer",""
"L10","What distinguishes Variational Autoencoders (VAEs) from standard autoencoders?","Their outputs are partly determined by chance, even after training.","They are generative models capable of producing new instances that look like the training set.","Their cost function includes a latent loss (KL divergence) pushing codings toward a Gaussian distribution.","They allow for semantic interpolation in the latent space.","All of the above","All of the above",""
"L10","In a Generative Adversarial Network (GAN), what is the role of the generator?","To distinguish between real and fake data","To turn noise into an imitation of the data to trick the discriminator","To reduce the dimensionality of the input data","To add noise to the input data progressively","All of the above","To turn noise into an imitation of the data to trick the discriminator",""
"L10","Which of the following is a common challenge when training GANs?","Mode collapse, where the generator produces outputs from only a few classes","Training instability and parameter oscillations","High sensitivity to hyperparameters","The difficulty of reaching a Nash equilibrium","All of the above","All of the above",""
"L10","What did the Deep Convolutional GAN (DCGAN) architecture propose to stabilize training?","Replace pooling layers with strided/transposed convolutions","Use batch normalization in both generator and discriminator","Remove fully connected hidden layers for deeper architectures","Use ReLU activation in the generator and leaky ReLU in the discriminator","All of the above","All of the above",""
"L10","What technique does Progressive Growing of GANs use to generate high-resolution images?","It trains solely on 1024x1024 images from the beginning.","It generates small images first, gradually adding convolutional layers to produce larger images.","It uses CycleGAN for domain transformation.","It relies entirely on Diffusion Models.","All of the above","It generates small images first, gradually adding convolutional layers to produce larger images.",""
"L10","How do Diffusion Models generate new data samples?","By playing a minimax game between two competing networks","By gradually adding Gaussian noise to corrupt data, then learning to reverse the denoising process","By mapping inputs to a discrete latent space using a bottleneck layer","By penalizing neuron activation sparsity","All of the above","By gradually adding Gaussian noise to corrupt data, then learning to reverse the denoising process",""
"L10","Why are Diffusion Models increasingly preferred over GANs in many state-of-the-art image generation tasks?","They offer more stable training compared to the adversarial nature of GANs.","They produce high-quality, diverse outputs.","They are less sensitive to hyperparameter tuning.","They avoid issues like mode collapse.","All of the above","All of the above",""
"L10","What is the primary purpose of the DDIM (Denoising Diffusion Implicit Model) sampler?","To increase the resolution of GAN outputs","To skip steps in the reverse denoising process, enabling faster sampling","To add more noise during the forward process","To replace the U-Net architecture entirely","All of the above","To skip steps in the reverse denoising process, enabling faster sampling",""
"L10","In Latent Diffusion Models (like Stable Diffusion), where does the diffusion process occur?","In the high-resolution pixel space","In a compressed latent space created by a pre-trained autoencoder","Inside the discriminator network","Exclusively within the text encoder","All of the above","In a compressed latent space created by a pre-trained autoencoder",""
"L10","How is context (e.g., text descriptions) incorporated into a Diffusion Model's generation process?","Through word counts","Through Context Embeddings fed into the neural network (e.g., U-Net)","By changing the loss function to cross-entropy","By applying CycleGAN domain translation","All of the above","Through Context Embeddings fed into the neural network (e.g., U-Net)",""
"L10","What does the 'reconstruction loss' in an autoencoder ensure?","That the latent representation captures as much information about the data as possible","That the discriminator is fooled","That the generator ignores the input data","That the Gaussian noise is perfectly isotropic","All of the above","That the latent representation captures as much information about the data as possible",""
"L10","What is the main characteristic of the StyleGAN architecture?","It maps the latent representations to multiple style vectors to control features at different levels.","It uses an Adaptive Instance Normalization (AdaIN) layer.","It adds extra noise inputs independently from the codings to handle stochastic details like freckles.","It separates fine-grained textures from high-level features.","All of the above","All of the above",""
"L10","Which loss function part in GAN training encourages the discriminator to correctly classify real samples?","Minimizing the KL divergence","Maximizing E[log(1 - D(G(z)))]","Maximizing E[log D(x)]","Minimizing the reconstruction error","All of the above","Maximizing E[log D(x)]",""
"L10","What is a major advantage of unsupervised pretraining using stacked autoencoders?","It allows neural networks to learn representations from large amounts of unlabeled data.","The learned lower layers can be reused for a supervised classification task.","It often works better than random initialization of weights.","It requires less manual intervention for feature engineering.","All of the above","All of the above",""
"L10","In a CNN, what is the role of a Max Pooling layer?","To extract local features using a set of weights","To identify what features are present","To downsample feature maps and determine the strongest features in each region","To introduce non-linearity into the network","All of the above","To downsample feature maps and determine the strongest features in each region",""
"L10","What does the term 'receptive field' refer to in the context of Convolutional Neural Networks?","The size of the output fully connected layer","The number of color channels in the image","The locations in the input image that a node is path-connected to","The gradient flow from the discriminator to the generator","All of the above","The locations in the input image that a node is path-connected to",""
"L10","How does a Variational Autoencoder (VAE) achieve 'continuity' in its latent space?","By applying an L1 penalty to all weights","By ensuring points that are close in latent space decode to similar content","By using a purely deterministic encoder","By skipping the denoising process","All of the above","By ensuring points that are close in latent space decode to similar content",""
"L10","What is the cycle effect in the context of GAN mode collapse?","The generator perfectly recreates the training dataset.","The discriminator memorizes the entire dataset.","The generator cycles across a few classes (e.g., shoes to shirts to pants) without mastering any of them.","The learning rate cycles between high and low values.","All of the above","The generator cycles across a few classes (e.g., shoes to shirts to pants) without mastering any of them.",""
"L10","What is the main difference between Convolutional Neural Networks (CNNs) and Multi-Layer Perceptrons (MLPs) regarding feature extraction?","CNNs rely on spatially sharing the parameters of each filter across the input.","MLPs are better suited for large image processing.","CNNs do not use non-linear activation functions.","MLPs use backpropagation while CNNs do not.","All of the above","CNNs rely on spatially sharing the parameters of each filter across the input.",""
"L11","What describes the agent's objective in Reinforcement Learning?","To minimize the total error on a labeled dataset","To learn underlying structure in unlabeled data","To learn to act in a way that maximizes its expected rewards over time","To predict the next word in a sequence","All of the above","To learn to act in a way that maximizes its expected rewards over time",""
"L11","Which of the following is a key element of a Reinforcement Learning problem formulation?","An environment described by a set of possible states","A set of possible actions the agent can perform","Real-valued rewards indicating the value of a state-action transition","A control policy that maximizes the expected sum of discounted rewards","All of the above","All of the above",""
"L11","What defines the 'credit assignment problem' in Reinforcement Learning?","Assigning correct labels to unsupervised data batches","Knowing which past actions should get credited or blamed for a delayed reward","Normalizing the input vectors to the neural network","Backpropagating gradients through a recurrent neural network","All of the above","Knowing which past actions should get credited or blamed for a delayed reward",""
"L11","In a Markov Decision Process (MDP), the transition probability to a new state depends on:","The entire history of all past states","Only the current state and the chosen action","Only the discount factor","The exploration rate exclusively","All of the above","Only the current state and the chosen action",""
"L11","In the Bellman optimality equation, what does the parameter gamma (γ) represent?","The learning rate","The exploration probability","The discount factor for future rewards","The transition probability","All of the above","The discount factor for future rewards",""
"L11","What is a characteristic of Temporal Difference (TD) Learning?","It is designed for unknown environments without prior knowledge of transition probabilities","It updates value estimates based on actually observed transitions and rewards","It processes one sample at a time, making it an incremental and efficient algorithm","It maintains a running average of immediate rewards combined with expected future rewards","All of the above","All of the above",""
"L11","What does a Q-Value, Q(s,a), represent?","The probability of transitioning to state s after taking action a","The sum of discounted future rewards expected after taking action a in state s, assuming optimal play thereafter","The immediate reward received for taking action a exclusively","The total loss of the deep neural network","All of the above","The sum of discounted future rewards expected after taking action a in state s, assuming optimal play thereafter",""
"L11","Why is Q-Learning considered an 'off-policy' algorithm?","It only works when the agent is offline","It learns from labeled dataset targets rather than real-time interactions","The policy being trained is not necessarily the one being executed by the agent","It does not use a policy function at any point during training","All of the above","The policy being trained is not necessarily the one being executed by the agent",""
"L11","What is the epsilon-greedy (ε-greedy) policy used for?","To balance exploring new actions and exploiting known good actions","To minimize the discount factor gradually","To prevent vanishing gradients in deep networks","To assign deterministic probabilities to all continuous actions","All of the above","To balance exploring new actions and exploiting known good actions",""
"L11","What is the main problem with standard tabular Q-Learning?","It only works for continuous action spaces","It requires a perfect teacher to supply labels","It does not scale well to large environments with many states and actions","It cannot utilize a discount factor for future rewards","All of the above","It does not scale well to large environments with many states and actions",""
"L11","How does Approximate Q-Learning handle large state spaces?","By finding a function that approximates the Q-value of any state-action pair","By using a manageable number of parameters to estimate Q-values","By utilizing Deep Neural Networks to model complex problems without manual feature engineering","By leveraging Deep Q-Networks (DQN)","All of the above","All of the above",""
"L11","Which of the following describes 'Catastrophic Forgetting' in Deep RL?","The agent drops all its reward values to zero randomly due to a software crash","Learning in one part of the environment breaks what was learned earlier in other parts","The discount factor decays too fast and the agent forgets the goal","The replay buffer is permanently deleted after each epoch","All of the above","Learning in one part of the environment breaks what was learned earlier in other parts",""
"L11","According to the lecture, which methods can help mitigate catastrophic forgetting and training instability in a DQN?","Increasing the size of the replay buffer","Reducing the learning rate","Trying many hyperparameter values","Experimenting with different random seeds","All of the above","All of the above",""
"L11","What is a known downside of the standard Q-Learning algorithm regarding action spaces?","It can easily model extremely large continuous action spaces","It learns stochastic policies directly from the environment","It cannot handle continuous action spaces natively","It converges instantly on continuous problems","All of the above","It cannot handle continuous action spaces natively",""
"L11","How do Policy Gradient methods address the limitations of Q-learning?","They directly optimize the policy π(s) instead of estimating Q-values","They can easily handle continuous action spaces","They can learn stochastic policies","They can output parameters of a probability distribution for actions","All of the above","All of the above",""
"L11","What is meant by 'Action Advantage'?","The difference between the immediate reward and the discount factor","An estimate of how much better or worse an action is compared to other possible actions on average","The absolute maximum Q-value for the current state","The probability of taking an action under a completely random policy","All of the above","An estimate of how much better or worse an action is compared to other possible actions on average",""
"L11","Why might the neural network loss be a poor indicator of a DQN's overall performance?","The loss might go down, but the agent starts overfitting a small region and performs worse","The loss could go up while the agent actually performs better by correctly increasing Q-value predictions","The DQN itself sets the targets, meaning targets scale up as predictions increase","Evaluation is better done by looking at the sum of undiscounted rewards","All of the above","All of the above",""
"L11","What is the purpose of the exploration function f(Q, N) = Q + κ / (1+N)?","To exclusively exploit known actions with high rewards","To encourage the agent to try actions it hasn't selected often by adding a bonus based on attempt counts","To completely eliminate the discount factor over time","To calculate the mean squared error of the Q-network","All of the above","To encourage the agent to try actions it hasn't selected often by adding a bonus based on attempt counts",""
"L11","What does the term 'Deep Q-Network' (DQN) specifically refer to?","A neural network that only uses linear regression","A deep neural network used to approximate Q-Values","An algorithm that deliberately removes all hidden layers","A framework designed exclusively for unsupervised clustering","All of the above","A deep neural network used to approximate Q-Values",""
"L11","In a continuous action space model using Policy Gradients, what might the neural network output?","A single discrete action index like 'left' or 'right'","Only the expected Q-value for a deterministic state","The mean and variance of a normal distribution from which the action is sampled","A binary win/loss classification","All of the above","The mean and variance of a normal distribution from which the action is sampled",""
"L11","How is the Q-value target formulated when training a Deep Q-Network (DQN)?","It is strictly equal to the immediate reward r","It is the reward r plus the discounted maximum Q-value of the next state: r + γ * max Q(s', a')","It is the sum of all past undiscounted rewards","It is the absolute difference between the previous and current policy","All of the above","It is the reward r plus the discounted maximum Q-value of the next state: r + γ * max Q(s', a')",""
"L11","Which of the following statements about calculating an action's 'return' using a discount rate is true?","It evaluates an action based on the sum of all rewards that come after it","It typically applies a discount factor at each subsequent step","A lower discount rate may be appropriate when long-term consequences are important","A higher discount rate may be suitable when only immediate outcomes matter","All of the above","All of the above",""
"L11","How did DeepMind's 2015 DQN breakthrough successfully solve a wide range of Atari games?","By providing explicit prior knowledge of the rules to the network","By using raw pixels as inputs to a convolutional neural network combined with experience replay","By using purely supervised learning with a massive dataset of human labels","By avoiding reinforcement learning entirely and relying on hardcoded heuristics","All of the above","By using raw pixels as inputs to a convolutional neural network combined with experience replay",""
"L11","What is a main characteristic of a stochastic policy output by a neural network?","It maps a state to exactly one rigid deterministic action","It estimates a probability distribution over actions, and an action is sampled randomly from it","It completely ignores the environment's state to ensure true randomness","It always exclusively chooses the action with the lowest Q-value","All of the above","It estimates a probability distribution over actions, and an action is sampled randomly from it",""
"L11","According to the slides, what are the three main classes of learning problems?","Supervised Learning, Unsupervised Learning, Reinforcement Learning","Deep Learning, Machine Learning, Artificial Intelligence","Value Iteration, Policy Iteration, Q-Learning","Discrete action spaces, Continuous action spaces, Stochastic environments","All of the above","Supervised Learning, Unsupervised Learning, Reinforcement Learning",""
"L12(HW11)","What is the algorithm a software agent uses to determine its actions called in Reinforcement Learning?","Policy","Value function","Reward signal","Environment state","All of the above","Policy",""
"L12(HW11)","Which of the following is a characteristic of a stochastic policy?","It always produces the same output for a given input","It involves some randomness, such as moving with a probability p","It guarantees the agent will never reach its goal","It completely ignores the environment's state","All of the above","It involves some randomness, such as moving with a probability p",""
"L12(HW11)","How can an agent search its environment to find a good policy according to the lecture?","By using genetic algorithms to evolve a population of policies","By evaluating the gradients of rewards with regard to policy parameters","By slightly tweaking parameters and keeping changes that increase rewards","By creating offspring policies with random variations","All of the above","All of the above",""
"L12(HW11)","What is the key difference between Deep Q-Networks (DQN) and Policy Gradients?","DQN directly optimizes the policy, while Policy Gradients do not","DQN approximates a Q-function to infer the optimal policy, while Policy Gradients directly optimize the policy","DQN handles only continuous action spaces","Policy Gradients require a perfect model of the environment","All of the above","DQN approximates a Q-function to infer the optimal policy, while Policy Gradients directly optimize the policy",""
"L12(HW11)","Which of the following types of action spaces does Policy Gradient naturally enable modeling for?","Only binary action spaces","Only discrete action spaces with less than 10 actions","Continuous action spaces","Environments with no action space","All of the above","Continuous action spaces",""
"L12(HW11)","In the Policy Gradient training algorithm, what happens to the probability of actions that resulted in high rewards?","It is decreased","It is kept constant","It is increased","It is inverted","All of the above","It is increased",""
"L12(HW11)","What is the REINFORCE algorithm also known as?","Value Iteration","Monte Carlo Policy Gradient","Dueling DQN","Proximal Policy Optimization","All of the above","Monte Carlo Policy Gradient",""
"L12(HW11)","What is a major limitation of the REINFORCE algorithm?","It requires a value function","It has high variance leading to unstable learning","It is extremely sample efficient","It can only be used on deterministic policies","All of the above","It has high variance leading to unstable learning",""
"L12(HW11)","Why are libraries like Gymnasium essential for Reinforcement Learning?","Real-world training is slow, difficult, and costly","Real-world training has physical risks without a simple undo button","Simulation provides diverse environments for training and benchmarking","Scaling physical agents is prohibitively expensive","All of the above","All of the above",""
"L12(HW11)","According to Gartner, what will happen to data used in AI models by 2030?","Real data will be exclusively used","Synthetic data will completely overshadow real data","Data will no longer be necessary for AI","Only human-annotated real data will be permitted","All of the above","Synthetic data will completely overshadow real data",""
"L12(HW11)","How did AlphaGo achieve super-human performance in the game of Go?","By relying solely on human expert positions","By using brute-force search without neural networks","By using an initial training on human data followed by self-play and reinforcement learning","By utilizing a purely deterministic policy","All of the above","By using an initial training on human data followed by self-play and reinforcement learning",""
"L12(HW11)","Which DeepMind AI was awarded a Nobel Prize in Chemistry for predicting the 3D shape of proteins?","AlphaZero","AlphaCode","GNOME","AlphaFold","All of the above","AlphaFold",""
"L12(HW11)","What problem does the Deep TAMER framework address?","The inability of DQN to play Atari games","The need for agents to quickly learn effective policies using real-time, interactive human feedback in high-dimensional spaces","The excessive speed of real-world physical robots","The lack of synthetic data in computer vision","All of the above","The need for agents to quickly learn effective policies using real-time, interactive human feedback in high-dimensional spaces",""
"L12(HW11)","How does Deep TAMER differ from Christiano et al.'s learning from human preferences?","Deep TAMER does not rely on a simulator during human interaction","Deep TAMER requires tens of millions of learning steps","Deep TAMER cannot use deep neural networks","Deep TAMER requires access to supercomputers","All of the above","Deep TAMER does not rely on a simulator during human interaction",""
"L12(HW11)","What does Deep TAMER try to maximize during training?","The game score directly","The predicted human reward","The absolute error of the Q-function","The number of legal board positions","All of the above","The predicted human reward",""
"L12(HW11)","What strategy was used in Deep Q-Learning variants to stabilize training by addressing the feedback loop?","Continuous high learning rates","Updating the target model less frequently than the online model (Fixed Q-Value Targets)","Removing the replay buffer","Using only linear regression","All of the above","Updating the target model less frequently than the online model (Fixed Q-Value Targets)",""
"L12(HW11)","What issue does the Double DQN algorithm specifically aim to resolve?","Overestimation of Q-values in the target network","Underestimation of rewards","The need for continuous action spaces","Lack of human feedback","All of the above","Overestimation of Q-values in the target network",""
"L12(HW11)","In Prioritized Experience Replay (PER), how is the importance of an experience determined?","By the age of the experience in the buffer","By the magnitude of the Temporal Difference (TD) error","By randomly assigning a priority score","By the total length of the episode","All of the above","By the magnitude of the Temporal Difference (TD) error",""
"L12(HW11)","How does Dueling DQN calculate Q-values more efficiently?","By ignoring the state observation completely","By decoupling the Q-value into a state value and an action advantage","By using purely random exploration","By removing all dense layers","All of the above","By decoupling the Q-value into a state value and an action advantage",""
"L12(HW11)","Which of the following is true about Actor-Critic algorithms?","They combine policy gradients with deep Q-networks","They comprise two neural networks: a policy net (actor) and a DQN (critic)","The policy net relies on the DQN's estimates instead of evaluating action values across multiple episodes","It is likened to an athlete learning with the guidance of a coach","All of the above","All of the above",""
"L12(HW11)","What is a key feature of the Proximal Policy Optimization (PPO) algorithm?","It relies exclusively on human demonstrations","It is limited to board games like Go and Chess","It incorporates a clipped loss function to prevent excessively large weight updates","It completely removes the need for an environment","All of the above","It incorporates a clipped loss function to prevent excessively large weight updates",""
"L12(HW11)","In Curiosity-Based Exploration, what drives the agent to explore the environment?","External human scalar feedback","Maximizing the game score directly","Predicting outcomes of actions and seeking situations where outcomes deviate from predictions","Minimizing the amount of time spent in the simulator","All of the above","Predicting outcomes of actions and seeking situations where outcomes deviate from predictions",""
"L12(HW11)","What is the main objective of Open Ended Learning (OEL) like the POET algorithm?","To train agents for continuous learning of new tasks","To generate multiple simulated environments that gradually become more challenging","To foster knowledge transfer and adaptability through competition","To outperform agents trained on single tasks","All of the above","All of the above",""
"L12(HW11)","How does Value Learning typically handle the Exploration vs. Exploitation trade-off?","By using a purely deterministic policy","By employing an epsilon-greedy strategy, where it explores randomly with a small probability","By sampling actions directly from a normal distribution","By relying on human interventions","All of the above","By employing an epsilon-greedy strategy, where it explores randomly with a small probability",""
"L12(HW11)","What is a defining characteristic of Synthetic Data?","It is artificially generated from simple rules, statistical modeling, or simulation","It can be used to reduce bias by ensuring data diversity","It is automatically labeled and can deliberately include rare corner cases","It is highly cost-effective compared to real-world data collection","All of the above","All of the above",""
"HW11","In a Markov Decision Process, what is the agent ultimately trying to discover?","A way to avoid exploring new states","A fixed sequence of states regardless of reward","A model that ignores transition probabilities","A policy that maximizes reward over time","The shortest sequence of random actions","A policy that maximizes reward over time",""
"HW11","How is the value function V(s) best described?","The entropy of the policy","The expected future reward of being in a state and following a policy","The difference between two Q-values","The undiscounted sum of all past rewards","The reward from any random action in a state","The expected future reward of being in a state and following a policy",""
"HW11","What does a Deep Q-Network (DQN) do with its Q-value estimates?","Selects the action with the highest Q-value to define the policy","Uses them only for logging and not for control","Ignores them and samples actions uniformly","Uses them only to update the target network",NULL,"Selects the action with the highest Q-value to define the policy",""
"HW11","Compared to DQN, what is distinctive about policy gradient methods?","They learn only state values, not actions","They directly optimize the policy's parameters to maximize expected reward","They never use neural networks","They require a perfect model of the environment",NULL,"They directly optimize the policy's parameters to maximize expected reward",""
"HW11","In the slides' discussion of discrete vs continuous actions, what extra challenge do continuous action spaces pose?","They require modeling a full probability distribution over infinitely many actions","They make the MDP non-Markovian","They eliminate the need for exploration","They always require tabular Q-learning","They cannot be learned with neural networks","They require modeling a full probability distribution over infinitely many actions",""
"HW11","When using policy gradients for continuous actions, what do the network outputs typically represent?","A fixed one-hot vector for each action","A replay buffer of all past actions","Only the discount factor for the return","Parameters (e.g., mean and variance) of a probability distribution over actions","Deterministic control rules that ignore randomness","Parameters (e.g., mean and variance) of a probability distribution over actions",""
"HW11","Why is the simple policy gradient algorithm on CartPole described as ""sample inefficient""?","It never updates its policy parameters","It never receives any reward signal","It ignores the notion of return completely","It trains with too large a learning rate","It needs many episodes to estimate advantages for actions accurately","It needs many episodes to estimate advantages for actions accurately",""
"HW11","What is one suggested way to speed up RL training according to the ""Tip"" slide?","Always turn off discounting γ","None of the Above","Inject prior knowledge via shaped rewards, such as penalizing pole angle","Stop exploration after one episode","Remove all noise from observations","Inject prior knowledge via shaped rewards, such as penalizing pole angle",""
"HW11","What is a key benefit of synthetic data mentioned in the slides?","It is cheaper and can be generated with built-in diversity and automatic labels","It guarantees fairness without extra work","It removes the need for labeling entirely","It is always perfectly realistic","None of the Above","It is cheaper and can be generated with built-in diversity and automatic labels",""
"HW11","In TAMER and Deep TAMER, how does the agent primarily learn?","From real-time scalar human feedback about the quality of its behavior","From expert demonstrations of optimal trajectories","From precomputed Q-tables","From environment-provided numeric rewards only",NULL,"From real-time scalar human feedback about the quality of its behavior",""
"HW11","What is the central research question behind Deep TAMER in the slides?","Whether Q-learning can replace human trainers entirely","Whether tabular methods work better than deep networks","How to remove reward signals from RL","How to eliminate function approximation from RL","How deep neural networks affect learning from real-time human feedback in high-dimensional spaces","How deep neural networks affect learning from real-time human feedback in high-dimensional spaces",""
"HW11","In the Atari Bowling experiments, what standout result is reported for Deep TAMER?","It needs tens of hours of feedback to barely improve","Human trainers help the agent reach superhuman performance with about 15 minutes of feedback","It only learns to stand still and do nothing","It never surpasses random play","It can only match human performance, not exceed it","Human trainers help the agent reach superhuman performance with about 15 minutes of feedback",""
"HW11","Why are fixed Q-value targets used in DQN training?","To eliminate the need for a replay buffer","To freeze learning in the online network","To stabilize training by using a slowly updated target network for next-state Q-values","To speed up convergence by changing the target every step","To remove the discount factor from the Bellman update","To stabilize training by using a slowly updated target network for next-state Q-values",""
"HW11","What issue does Double DQN specifically address?","Underestimation of rewards due to sparse feedback","Vanishing gradients in convolutional layers","Overestimation bias in standard DQN Q-values","Lack of exploration when ε is large","All of the Above","Overestimation bias in standard DQN Q-values",""
"HW11","What is the core idea of Prioritized Experience Replay?","Sampling experiences uniformly at random forever","Storing only terminal states in the buffer","Ignoring transitions with large TD error","Sampling transitions more often when they have larger TD error","None of the Above","Sampling transitions more often when they have larger TD error",""
"HW11","How does Dueling DQN represent Q-values differently?","It stores separate Q-tables for each episode","It decomposes Q(s, a) into a state value V(s) and an advantage A(s, a)","It ignores action advantages entirely","It uses only scalar rewards without states","It replaces Q-values with pure policy gradients","It decomposes Q(s, a) into a state value V(s) and an advantage A(s, a)",""
"HW11","In the comparison slide of value learning, Q-learning, and policy gradients, which method directly represents a policy π(s)?","Value learning","Policy gradient learning","Q-learning","Both DQN and Policy Gradients","All of them directly learn policies","Policy gradient learning",""
"HW11","What is the main idea behind curiosity-based exploration?","Turning off external rewards entirely and never updating","Giving intrinsic reward when outcomes deviate from the agent's predictions, encouraging it to seek novel situations","Rewarding the agent only when it reaches terminal states","Forcing the agent to replay the same experience repeatedly","Penalizing every unexpected transition equally","Giving intrinsic reward when outcomes deviate from the agent's predictions, encouraging it to seek novel situations",""
"HW11","What is a key feature of open-ended learning in the POET algorithm example?","Using only supervised labels to guide behavior","Evolving multiple agents and environments together, with agents transferring across harder tasks","Freezing the curriculum after the first iteration","Eliminating competition between agents","Training a single agent on one fixed environment","Evolving multiple agents and environments together, with agents transferring across harder tasks",""
